uid,duration,age,gender,educ,commit,choice,clean_choice,focus_chosen
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6AQfhknFACKje5r,2.2333333333333334,18 to 24,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3e39i24V9iKTh2F,4.2,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_72WIMJEQMMJECHW,5.583333333333333,45 to 54,Male,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_5Ma4RVB2rqHeqGC,2.65,25 to 34,Female,4-year college degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3LrpgPzZKM7iMsF,7.0,65 or over,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/2},Zero Shot,0
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/2},Zero Shot,0
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_3C4w5wjszpnGCtZ,8.333333333333334,35 to 44,Male,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_7egQ1SCUUAv0bsJ,1.8333333333333333,25 to 34,Male,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/2},Zero Shot,0
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_6uk8vXtXIXJ5zlD,9.166666666666666,25 to 34,Female,High school graduate,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/2},Zero Shot,0
R_1qvtiErESY4Obdk,7.583333333333333,35 to 44,Female,"Some college, but no degree (yet)","Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/2},Zero Shot,0
R_1GTXi6GKJQn8kK5,5.316666666666666,35 to 44,Female,Postgraduate degree,"Yes, I will",${lm://Field/1},"Simulated Focus Group
(Moderated Ensemble)",1
